"Source","Input","Mesh","Output","Count","DropChance","Tier"
"JSON","exdeorum:dust","exdeorum:string_mesh","ae2:certus_quartz_dust","1","6.00%","1"
"JSON","exdeorum:dust","exdeorum:string_mesh","ae2:sky_dust","1","6.00%","1"
"JSON","exdeorum:dust","exdeorum:string_mesh","enderio:grains_of_infinity","1","6.00%","1"
"JSON","minecraft:dirt","exdeorum:string_mesh","exdeorum:grass_seeds","1","10.0%","1"
"JSON","minecraft:dirt","exdeorum:string_mesh","exdeorum:mycelium_spores","1","3.00%","1"
"JSON","minecraft:dirt","exdeorum:string_mesh","exdeorum:stone_pebble","1","60.0%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:aluminum_ore_chunk","1","4.00%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:boron_ore_chunk","1","3.00%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:copper_ore_chunk","1","8.00%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:gold_ore_chunk","1","3.00%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:iridium_ore_chunk","1","3.00%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:iron_ore_chunk","1","10.0%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:lead_ore_chunk","1","4.00%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:magnesium_ore_chunk","1","7.00%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:nickel_ore_chunk","1","4.00%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:osmium_ore_chunk","1","3.00%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:silver_ore_chunk","1","4.00%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:stone_pebble","1","40.0%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:thorium_ore_chunk","1","5.00%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:tin_ore_chunk","1","6.00%","1"
"JSON","minecraft:gravel","exdeorum:string_mesh","exdeorum:zinc_ore_chunk","1","3.50%","1"
"JSON","minecraft:sand","exdeorum:string_mesh","ae2:certus_quartz_crystal","1","3.00%","1"
"JSON","minecraft:sand","exdeorum:string_mesh","ae2:charged_certus_quartz_crystal","1","0.50%","1"
"JSON","exdeorum:crushed_blackstone","exdeorum:flint_mesh","exdeorum:basalt_pebble","1","55.00%","2"
"JSON","exdeorum:crushed_blackstone","exdeorum:flint_mesh","exdeorum:blackstone_pebble","1","65.00%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:basalt_pebble","1","40.0%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:boron_ore_chunk","1","6.00%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:calcite_pebble","1","40.0%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:copper_ore_chunk","1","11.00%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:deepslate_pebble","1","50.0%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:gold_ore_chunk","1","8.00%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:iridium_ore_chunk","1","5.00%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:iron_ore_chunk","1","13.00%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:lead_ore_chunk","1","8.00%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:lithium_ore_chunk","1","5.00%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:magnesium_ore_chunk","1","10.0%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:nickel_ore_chunk","1","6.00%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:osmium_ore_chunk","1","8.00%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:platinum_ore_chunk","1","5.00%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:silver_ore_chunk","1","8.00%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:thorium_ore_chunk","1","6.50%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:tin_ore_chunk","1","7.00%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:tuff_pebble","1","40.0%","2"
"JSON","exdeorum:crushed_deepslate","exdeorum:flint_mesh","exdeorum:uranium_ore_chunk","1","6.00%","2"
"JSON","exdeorum:crushed_netherrack","exdeorum:flint_mesh","exdeorum:basalt_pebble","1","40.0%","2"
"JSON","exdeorum:crushed_netherrack","exdeorum:flint_mesh","exdeorum:blackstone_pebble","1","50.0%","2"
"JSON","exdeorum:crushed_netherrack","exdeorum:flint_mesh","exdeorum:cobalt_ore_chunk","1","5.00%","2"
"JSON","exdeorum:crushed_netherrack","exdeorum:flint_mesh","exdeorum:crimson_nylium_spores","1","7.00%","2"
"JSON","exdeorum:crushed_netherrack","exdeorum:flint_mesh","exdeorum:warped_nylium_spores","1","7.00%","2"
"JSON","exdeorum:dust","exdeorum:flint_mesh","ae2:certus_quartz_dust","1","7.00%","2"
"JSON","exdeorum:dust","exdeorum:flint_mesh","ae2:sky_dust","1","7.00%","2"
"JSON","exdeorum:dust","exdeorum:flint_mesh","enderio:grains_of_infinity","1","7.00%","2"
"JSON","minecraft:dirt","exdeorum:flint_mesh","exdeorum:andesite_pebble","1","40.0%","2"
"JSON","minecraft:dirt","exdeorum:flint_mesh","exdeorum:diorite_pebble","1","40.0%","2"
"JSON","minecraft:dirt","exdeorum:flint_mesh","exdeorum:granite_pebble","1","40.0%","2"
"JSON","minecraft:dirt","exdeorum:flint_mesh","exdeorum:grass_seeds","1","15.00%","2"
"JSON","minecraft:dirt","exdeorum:flint_mesh","exdeorum:mycelium_spores","1","5.00%","2"
"JSON","minecraft:dirt","exdeorum:flint_mesh","exdeorum:stone_pebble","1","60.0%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:aluminum_ore_chunk","1","5.00%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:andesite_pebble","1","40.0%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:boron_ore_chunk","1","3.25%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:copper_ore_chunk","1","10.0%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:diorite_pebble","1","40.0%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:gold_ore_chunk","1","4.00%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:granite_pebble","1","40.0%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:iridium_ore_chunk","1","3.00%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:iron_ore_chunk","1","12.00%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:lead_ore_chunk","1","5.00%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:magnesium_ore_chunk","1","7.50%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:nickel_ore_chunk","1","5.50%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:osmium_ore_chunk","1","4.00%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:silver_ore_chunk","1","5.00%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:stone_pebble","1","50.0%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:thorium_ore_chunk","1","5.50%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:tin_ore_chunk","1","7.00%","2"
"JSON","minecraft:gravel","exdeorum:flint_mesh","exdeorum:zinc_ore_chunk","1","4.00%","2"
"JSON","minecraft:sand","exdeorum:flint_mesh","ae2:certus_quartz_crystal","1","4.00%","2"
"JSON","minecraft:sand","exdeorum:flint_mesh","ae2:charged_certus_quartz_crystal","1","0.50%","2"
"JSON","minecraft:sand","exdeorum:flint_mesh","exdeorum:random_pottery_sherd","1","4.00%","2"
"JSON","minecraft:soul_sand","exdeorum:flint_mesh","exdeorum:crimson_nylium_spores","1","3.00%","2"
"JSON","minecraft:soul_sand","exdeorum:flint_mesh","exdeorum:warped_nylium_spores","1","3.00%","2"
"JSON","exdeorum:crushed_blackstone","exdeorum:iron_mesh","exdeorum:basalt_pebble","1","55.00%","3"
"JSON","exdeorum:crushed_blackstone","exdeorum:iron_mesh","exdeorum:blackstone_pebble","1","65.00%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:boron_ore_chunk","1","6.00%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:copper_ore_chunk","1","10.0%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:deepslate_pebble","1","60.0%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:gold_ore_chunk","1","9.00%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:iridium_ore_chunk","1","6.00%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:iron_ore_chunk","1","15.00%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:lead_ore_chunk","1","10.0%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:lithium_ore_chunk","1","6.00%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:magnesium_ore_chunk","1","11.00%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:nickel_ore_chunk","1","9.00%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:osmium_ore_chunk","1","10.0%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:platinum_ore_chunk","1","6.50%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:silver_ore_chunk","1","10.0%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:thorium_ore_chunk","1","7.50%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:tin_ore_chunk","1","11.00%","3"
"JSON","exdeorum:crushed_deepslate","exdeorum:iron_mesh","exdeorum:uranium_ore_chunk","1","8.00%","3"
"JSON","exdeorum:crushed_netherrack","exdeorum:iron_mesh","exdeorum:basalt_pebble","1","45.00%","3"
"JSON","exdeorum:crushed_netherrack","exdeorum:iron_mesh","exdeorum:blackstone_pebble","1","60.0%","3"
"JSON","exdeorum:crushed_netherrack","exdeorum:iron_mesh","exdeorum:cobalt_ore_chunk","1","6.50%","3"
"JSON","exdeorum:crushed_netherrack","exdeorum:iron_mesh","exdeorum:crimson_nylium_spores","1","8.00%","3"
"JSON","exdeorum:crushed_netherrack","exdeorum:iron_mesh","exdeorum:warped_nylium_spores","1","8.00%","3"
"JSON","exdeorum:dust","exdeorum:iron_mesh","ae2:certus_quartz_dust","1","7.50%","3"
"JSON","exdeorum:dust","exdeorum:iron_mesh","ae2:sky_dust","1","7.50%","3"
"JSON","exdeorum:dust","exdeorum:iron_mesh","enderio:grains_of_infinity","1","9.00%","3"
"KubeJS","Materials.Dust","exdeorum:iron_mesh","alltheores:salt","1","15%","3"
"KubeJS","Materials.Dust","exdeorum:iron_mesh","alltheores:sulfur","1","15%","3"
"KubeJS","Materials.SoulSand","exdeorum:iron_mesh","mysticalagriculture:prosperity_shard","1","20%","3"
"JSON","minecraft:dirt","exdeorum:iron_mesh","exdeorum:deepslate_pebble","1","45.00%","3"
"JSON","minecraft:dirt","exdeorum:iron_mesh","exdeorum:grass_seeds","1","17.50%","3"
"JSON","minecraft:dirt","exdeorum:iron_mesh","exdeorum:mycelium_spores","1","10.0%","3"
"JSON","minecraft:dirt","exdeorum:iron_mesh","exdeorum:stone_pebble","1","65.00%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:aluminum_ore_chunk","1","6.00%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:boron_ore_chunk","1","4.50%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:copper_ore_chunk","1","12.00%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:deepslate_pebble","1","55.00%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:gold_ore_chunk","1","6.00%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:iridium_ore_chunk","1","4.00%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:iron_ore_chunk","1","14.00%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:lead_ore_chunk","1","6.00%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:magnesium_ore_chunk","1","9.00%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:nickel_ore_chunk","1","7.00%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:osmium_ore_chunk","1","4.50%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:silver_ore_chunk","1","5.50%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:stone_pebble","1","50.0%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:thorium_ore_chunk","1","6.50%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:tin_ore_chunk","1","9.00%","3"
"JSON","minecraft:gravel","exdeorum:iron_mesh","exdeorum:zinc_ore_chunk","1","6.00%","3"
"KubeJS","minecraft:sand","exdeorum:iron_mesh","actuallyadditions:black_quartz","1","10%","3"
"JSON","minecraft:sand","exdeorum:iron_mesh","ae2:certus_quartz_crystal","1","6.00%","3"
"JSON","minecraft:sand","exdeorum:iron_mesh","ae2:charged_certus_quartz_crystal","1","1.25%","3"
"KubeJS","minecraft:sand","exdeorum:iron_mesh","alltheores:fluorite","1","15%","3"
"JSON","exdeorum:crushed_blackstone","exdeorum:golden_mesh","exdeorum:basalt_pebble","1","50.0%","4"
"JSON","exdeorum:crushed_blackstone","exdeorum:golden_mesh","exdeorum:blackstone_pebble","1","70.0%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:boron_ore_chunk","1","6.50%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:copper_ore_chunk","1","9.00%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:deepslate_pebble","1","65.00%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:gold_ore_chunk","1","15.00%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:iridium_ore_chunk","1","4.00%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:iron_ore_chunk","1","15.00%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:lead_ore_chunk","1","9.00%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:lithium_ore_chunk","1","6.50%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:magnesium_ore_chunk","1","12.00%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:nickel_ore_chunk","1","11.00%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:osmium_ore_chunk","1","9.00%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:platinum_ore_chunk","1","9.00%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:silver_ore_chunk","1","15.00%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:thorium_ore_chunk","1","7.50%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:tin_ore_chunk","1","12.00%","4"
"JSON","exdeorum:crushed_deepslate","exdeorum:golden_mesh","exdeorum:uranium_ore_chunk","1","7.00%","4"
"JSON","exdeorum:crushed_netherrack","exdeorum:golden_mesh","exdeorum:basalt_pebble","1","45.00%","4"
"JSON","exdeorum:crushed_netherrack","exdeorum:golden_mesh","exdeorum:blackstone_pebble","1","60.0%","4"
"JSON","exdeorum:crushed_netherrack","exdeorum:golden_mesh","exdeorum:cobalt_ore_chunk","1","7.00%","4"
"JSON","exdeorum:crushed_netherrack","exdeorum:golden_mesh","exdeorum:crimson_nylium_spores","1","8.00%","4"
"JSON","exdeorum:crushed_netherrack","exdeorum:golden_mesh","exdeorum:warped_nylium_spores","1","8.00%","4"
"JSON","exdeorum:dust","exdeorum:golden_mesh","ae2:certus_quartz_dust","1","8.00%","4"
"JSON","exdeorum:dust","exdeorum:golden_mesh","ae2:sky_dust","1","8.00%","4"
"JSON","exdeorum:dust","exdeorum:golden_mesh","enderio:grains_of_infinity","1","11.00%","4"
"KubeJS","Materials.Dust","exdeorum:golden_mesh","alltheores:salt","1","15%","4"
"KubeJS","Materials.Dust","exdeorum:golden_mesh","alltheores:sulfur","1","15%","4"
"KubeJS","Materials.SoulSand","exdeorum:golden_mesh","mysticalagriculture:prosperity_shard","1","20%","4"
"JSON","minecraft:dirt","exdeorum:golden_mesh","exdeorum:deepslate_pebble","1","55.00%","4"
"JSON","minecraft:dirt","exdeorum:golden_mesh","exdeorum:grass_seeds","1","25.00%","4"
"JSON","minecraft:dirt","exdeorum:golden_mesh","exdeorum:mycelium_spores","1","13.00%","4"
"JSON","minecraft:dirt","exdeorum:golden_mesh","exdeorum:stone_pebble","1","70.0%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:aluminum_ore_chunk","1","7.00%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:boron_ore_chunk","1","4.00%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:copper_ore_chunk","1","7.00%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:deepslate_pebble","1","55.00%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:gold_ore_chunk","1","10.0%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:iridium_ore_chunk","1","5.00%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:iron_ore_chunk","1","14.00%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:lead_ore_chunk","1","7.00%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:magnesium_ore_chunk","1","4.00%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:nickel_ore_chunk","1","7.00%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:osmium_ore_chunk","1","5.00%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:silver_ore_chunk","1","12.00%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:stone_pebble","1","50.0%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:thorium_ore_chunk","1","4.00%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:tin_ore_chunk","1","7.00%","4"
"JSON","minecraft:gravel","exdeorum:golden_mesh","exdeorum:zinc_ore_chunk","1","5.00%","4"
"KubeJS","minecraft:sand","exdeorum:golden_mesh","actuallyadditions:black_quartz","1","11%","4"
"JSON","minecraft:sand","exdeorum:golden_mesh","ae2:certus_quartz_crystal","1","7.00%","4"
"JSON","minecraft:sand","exdeorum:golden_mesh","ae2:charged_certus_quartz_crystal","1","1.50%","4"
"KubeJS","minecraft:sand","exdeorum:golden_mesh","alltheores:fluorite","1","15%","4"
"JSON","minecraft:sand","exdeorum:golden_mesh","exdeorum:random_armor_trim","1","2.00%","4"
"JSON","exdeorum:crushed_blackstone","exdeorum:diamond_mesh","exdeorum:blackstone_pebble","1","70.0%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:boron_ore_chunk","1","8.00%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:copper_ore_chunk","1","9.00%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:deepslate_pebble","1","65.00%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:gold_ore_chunk","1","13.00%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:iridium_ore_chunk","1","6.50%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:iron_ore_chunk","1","18.00%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:lead_ore_chunk","1","11.00%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:lithium_ore_chunk","1","8.00%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:magnesium_ore_chunk","1","12.00%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:nickel_ore_chunk","1","11.00%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:osmium_ore_chunk","1","12.00%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:platinum_ore_chunk","1","7.50%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:silver_ore_chunk","1","11.00%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:thorium_ore_chunk","1","9.50%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:tin_ore_chunk","1","13.00%","5"
"JSON","exdeorum:crushed_deepslate","exdeorum:diamond_mesh","exdeorum:uranium_ore_chunk","1","10.0%","5"
"JSON","exdeorum:crushed_netherrack","exdeorum:diamond_mesh","exdeorum:blackstone_pebble","1","60.0%","5"
"JSON","exdeorum:crushed_netherrack","exdeorum:diamond_mesh","exdeorum:cobalt_ore_chunk","1","9.00%","5"
"JSON","exdeorum:dust","exdeorum:diamond_mesh","ae2:certus_quartz_dust","1","10.0%","5"
"JSON","exdeorum:dust","exdeorum:diamond_mesh","ae2:sky_dust","1","10.0%","5"
"JSON","exdeorum:dust","exdeorum:diamond_mesh","enderio:grains_of_infinity","1","12.00%","5"
"KubeJS","Materials.Blackstone","exdeorum:diamond_mesh","allthemodium:allthemodium_nugget","1","4%","5"
"KubeJS","Materials.Blackstone","exdeorum:diamond_mesh","occultism:raw_iesnium","1","5%","5"
"KubeJS","Materials.Dust","exdeorum:diamond_mesh","alltheores:salt","1","15%","5"
"KubeJS","Materials.Dust","exdeorum:diamond_mesh","alltheores:sulfur","1","15%","5"
"KubeJS","Materials.SoulSand","exdeorum:diamond_mesh","mysticalagriculture:prosperity_shard","1","20%","5"
"KubeJS","Materials.SoulSand","exdeorum:diamond_mesh","mysticalagriculture:soulium_dust","1","5%","5"
"JSON","minecraft:dirt","exdeorum:diamond_mesh","exdeorum:deepslate_pebble","1","60.0%","5"
"JSON","minecraft:dirt","exdeorum:diamond_mesh","exdeorum:grass_seeds","1","15.00%","5"
"JSON","minecraft:dirt","exdeorum:diamond_mesh","exdeorum:mycelium_spores","1","10.0%","5"
"JSON","minecraft:dirt","exdeorum:diamond_mesh","exdeorum:stone_pebble","1","70.0%","5"
"JSON","minecraft:gravel","exdeorum:diamond_mesh","exdeorum:aluminum_ore_chunk","1","8.00%","5"
"JSON","minecraft:gravel","exdeorum:diamond_mesh","exdeorum:boron_ore_chunk","1","6.00%","5"
"JSON","minecraft:gravel","exdeorum:diamond_mesh","exdeorum:copper_ore_chunk","1","7.00%","5"
"JSON","minecraft:gravel","exdeorum:diamond_mesh","exdeorum:deepslate_pebble","1","60.0%","5"
"JSON","minecraft:gravel","exdeorum:diamond_mesh","exdeorum:gold_ore_chunk","1","8.00%","5"
"JSON","minecraft:gravel","exdeorum:diamond_mesh","exdeorum:iridium_ore_chunk","1","5.00%","5"
"JSON","minecraft:gravel","exdeorum:diamond_mesh","exdeorum:iron_ore_chunk","1","15.00%","5"
"JSON","minecraft:gravel","exdeorum:diamond_mesh","exdeorum:lead_ore_chunk","1","9.00%","5"
"JSON","minecraft:gravel","exdeorum:diamond_mesh","exdeorum:magnesium_ore_chunk","1","10.50%","5"
